first.name,last.name,ID,h.index,i10.index,citations,years.active,tweets,following,followers,username,twitter
Shalini,Aggarwal,pag131,1,0,3,28,,,,,0
Pablo,Aguilar,pag133,1,0,1,3,,,,,0
Federico,Aguilera Klink,pag134,2,1,13,18,,,,,0
José,Aguilar-Retureta,pag135,1,0,5,1,,,,,0
Delina,Agnosteva,pag136,1,1,20,3,,,,,0
Elettra,Agliardi,pag137,6,2,108,26,,,,,0
Anna,Agrapetidou,pag139,1,0,3,1,,,,,0
Victor,Aguirregabiria,pag15,11,14,878,21,834,355,309,@vaguirregabiria,1
Maxime,Agbo,pag152,2,0,10,3,,,,,0
Ruchir,Agarwal,pag154,1,1,30,1,,,,,0
Gemechu,Aga,pag155,3,1,52,6,,,,,0
Senay,Agca,pag157,5,2,72,11,,,,,0
Frank,Agbola,pag158,4,0,49,17,,,,,0
Pierre-Richard,Agénor,pag16,20,43,1532,32,,,,,0
Francesco,Agostinelli,pag161,2,0,13,2,,,,,0
Julio,Aguirre,pag162,1,0,1,13,,,,,0
Leila,Agha,pag166,2,1,27,4,,,,,0
Sam,Agyei-Ampomah,pag168,3,1,49,11,,,,,0
Bina,Agarwal,pag169,9,9,363,33,,,,,0
Eva,Aguayo,pag17,4,1,92,19,,,,,0
Camila,Aguilar,pag170,3,1,59,5,,,,,0
Alperen,Agca,pag171,1,0,3,1,,,,,0
Philippe,Aghion,pag175,63,134,18195,33,,,,,0
Kerri,Agnew,pag182,2,2,52,1,,,,,0
Temisan,Agbeyegbe,pag19,4,1,59,24,,,,,0
Claudio,Agostini,pag22,6,1,123,13,1723,169,9022,@agostini_cl,1
Luís,Aguiar-Conraria,pag24,9,9,415,12,,,,,0
Antonio,Aguirre,pag25,2,0,10,22,,,,,0
Iñaki,Aguirre,pag26,4,2,137,20,,,,,0
Raj,Aggarwal,pag27,16,24,782,40,,,,,0
Muhammad Yousuf,Aguria,pag34,1,0,6,1,,,,,0
Rahul,Agarwal,pag35,1,0,2,1,,,,,0
Itai,Agur,pag37,7,6,111,15,,,,,0
Ajay,Agrawal,pag38,14,18,1115,16,,,,,0
Maria,Aguilera,pag39,2,1,30,19,,,,,0
George,Agiomirgianakis,pag4,6,5,138,21,,,,,0
Suresh,Aggarwal,pag40,2,1,25,10,,,,,0
Betty,Agnani,pag41,3,1,26,5,,,,,0
Luis Fernando,Aguado Quintero,pag43,2,0,8,14,,,,,0
Victor,Aguiar,pag44,2,0,9,4,,,,,0
David,Agrawal,pag45,3,1,40,4,49,364,171,@davidragrawal,1
Hernández-Bastida,Agustín,pag46,3,0,16,25,,,,,0
Sumit,Agarwal,pag47,19,38,1384,14,,,,,0
Scott,Aguais,pag50,1,0,1,1,,,,,0
Pawan,Agarwal,pag52,1,1,10,1,,,,,0
