first.name,last.name,ID,twitter,h.index,i10.index,citations,tweets,following,followers
Ronan,Lyons,ply25, @ronanlyons ,3,1,63,"21,200",778,"18,200"
JoÃ«l,Machado Carneiro,pma1335, @econjoelmachado ,4,1,51,401,540,256
Mario,Macis,pma869, @mmacis ,10,10,312,"2,868",575,891
David,Macpherson,pma214, @macpherson_da ,13,17,704,22,61,38
Michael,Mainelli,pma2164, @mrmainelli ,1,0,4,"2,748",177,"3,500"
Paul,Makdissi,pma9, @pmakdissi ,9,8,314,250,105,72
Julien,Malizard,pma1622, @jmalizard ,3,0,19,85,668,276
Miguel,Malo,pma242, @miguel_a_malo ,7,4,175,"1,798",307,304
Paolo,Manasse,pma149, @pmanasse ,11,11,641,"2,623",976,"2,136"
Lucia,Mangiavacchi,pma1105, @lucia_mangiavac ,3,3,56,55,77,50
N. Gregory,Mankiw,pma131, @gregmankiwblog ,57,79,16159,971,1,"14,700"
Catherine,Mann,pma1323, @clmannecon ,13,16,731,"2,943",287,"4,550"
Yusuf,Mansur,pma1666, @ymansur ,2,0,7,"22,600","2,556","13,500"
Panagiotis,Mantalos,pma697, @PMantalos ,4,3,161,6,41,6
Ioana,Marinescu,pma336, @mioana ,10,10,315,"2,078",570,"4,914"
Marco,Marini,pma163, @marcomariniuni ,4,1,59,13,66,78
Mohamed,Marouani,pma684, @dalimarouani ,6,3,113,"2,069",205,480
Alejandro,Marquez-Velazquez,pma1766, @ale_marquez ,2,0,5,795,671,287
Thomas,Marsh,pma351, @thomaslmarsh1 ,9,5,381,9,37,35
ClÃ©ment,Marsilli,pma1639, @clementmarsilli ,3,2,40,894,670,315
Isabel,MartÃ?nez,pma1777, @izmartinez86 ,2,0,7,234,240,210
Inmaculada,MartÃ?nez-Zarzoso,pma470, @martinei1 ,14,17,777,23,32,36
Andrew,Martinez,pma1768, @andrewbmartinez ,3,0,15,211,82,58
Monica,Martinez-Bravo,pma1375, @monicambravo ,4,4,69,303,373,"1,041"
Pedro,Martins,pma50, @pmrsmartins ,17,26,885,"3,340","2,936","1,316"
Bruno,Martorano,pma2054, @bruno_martorano ,5,3,89,87,243,156
FrÃ©dÃ©ric,Marty,pma442, @fred_marty ,3,0,27,"1,572",378,693
Benedicta,Marzinotto,pma1298, @bmarzinotto ,5,4,78,"1,102",258,394
Ilaria,Maselli,pma1836, @ilariainbxl ,4,1,48,"2,394",813,984
William,Masters,pma113, @wamasters ,10,11,682,356,501,714
Carlos,MatÃ©,pma1469, @carlomate ,3,1,30,28,67,38
Raffaele,Mattera,pma2509, @matteraraffaele ,3,1,30,"1,595",112,66
Alan,Maynard,pma2597, @ProfAlanMaynard ,3,1,30,"34,300","1,474","12,300"
Mark,McGovern,pmc202, @mcgovern_me ,3,0,36,226,179,214
Thomas,McGregor,pmc276, @tmjmcgregor ,1,0,4,33,73,59
David,McKenzie,pmc29, @dmckenzie001 ,33,72,4324,"2,534",268,"5,370"
Marcelo,Medeiros,pme108, @marcelo_meds ,6,6,173,988,813,"2,181"
