first.name,last.name,ID,h.index,i10.index,citations,years.active,tweets,following,followers,username
Dominique,Meurs,pme234,8,7,266,17,"3,209",241,407, @divisquin 
Dany,Jaimovich,pja101,4,4,212,15,"1,606",392,367, @djaimovi 
David-Jan,Jansen,pja40,13,15,936,15,464,89,106, @djansenresearch 
Dennis,Snower,psn9,24,46,1865,27,"2,572",342,"1,352", @djsnower 
Dimitris,Korobilis,pko254,13,14,906,10,1,1,21, @dkorobilis 
David,McKenzie,pmc29,33,72,4324,21,"2,534",268,"5,370", @dmckenzie001 
Jeffrey,Dorfman,pdo387,10,12,374,27,"22,600",433,"2,069", @dorfmanjeffrey 
Douglas,Webber,pwe305,6,4,89,9,"3,405",900,"1,952", @dougwebberecon 
Carlo,Drago,pdr32,3,0,22,13,"2,507","1,355",937, @drago_carlo 
Raffaella,Viti,pvi400,1,0,1,4,"2,242",68,97, @drchaiporn 
Chokri,Dridi,pdr8,4,1,46,13,292,158,80, @dridich 
Lisa,Cook,pco838,5,2,77,18,6996,939,"4,290", @drlisadcook 
Susanne,DrÃ¶ge,pdr34,4,1,38,13,701,204,421, @droege_s 
Alyssa,Schneebaum,psc389,4,1,47,4,169,336,243, @drsnowtree 
Drew,Moxon,pmo969,1,0,1,1,"7,110",783,"1,001", @dsmoxon 
Daniel,Solis,pso136,7,7,215,14,"3,691",332,"1,079", @dsolisagecon 
Dario,Tortarolo,pto327,1,0,2,4,"2,043",766,583, @dtortarolo 
David,Ubilava,pub8,4,2,69,11,385,148,183, @dubilava 
Pascaline,Dupas,pdu104,15,18,1306,18,50,10,"2,878", @dupaspascaline 
Robert,Dur,pdu1,14,18,793,20,"2,976",127,"2,356", @durrobert 
Nikos,Varsakelis,pva376,2,2,69,21,404,959,326, @dvaroutas 
Dirk Willem,te Velde,pte55,10,10,337,17,"3,930",499,"1,488", @dwtevelde 
Susan,Dynarski,pdy1,16,20,1169,21,"75,100","2,456","17,400", @dynarski 
Dawid,Zochowski,poc8,1,0,1,12,16,52,12, @dzochow 
Matthias,Raddant,pra520,4,1,43,9,13,25,33, @econ_mtr 
Sandra,Black,pbl92,25,35,3990,22,608,267,"3,061", @econ_sandy 
Catherine,Porter,ppo341,6,3,85,9,304,369,261, @econcath 
Sean,Dougherty,pdo17,8,6,161,16,817,515,677, @econecho 
JoÃ«l,Machado Carneiro,pma1335,4,1,51,7,401,540,256, @econjoelmachado 
Marius,Ooms,poo1,13,16,565,21,"2,896",618,924, @econlinks 
Shoshana,Grossbard,pgr93,8,7,320,41,"16,700","2,297","4,020", @econoflove 
Markus,Schneider,psc667,2,0,7,10,899,252,195, @econogonzo 
